"name","position","country","club"
"Essam El Hadary","GK","Egypt","Al Taawoun"
"Mohamed El-Shennawy","GK","Egypt","Al Ahly"
"Sherif Ekramy","GK","Egypt","Al Ahly"
"Ahmed Fathi","DEF","Egypt","Al Ahly"
"Saad Samir","DEF","Egypt","Al Ahly"
"Ayman Ashraf","DEF","Egypt","Al Ahly"
"Mahmoud Hamdy","DEF","Egypt","Zamalek"
"Mohamed Abdel-Shafy","DEF","Egypt","Al Fateh"
"Ahmed Hegazi","DEF","Egypt","West Brom"
"Ali Gabr","DEF","Egypt","Zamalek"
"Ahmed Elmohamady","DEF","Egypt","Aston Villa"
"Omar Gaber","DEF","Egypt","Los Angeles FC"
"Tarek Hamed","MID","Egypt","Zamalek"
"Shikabala","MID","Egypt","Zamalek"
"Abdallah Said","MID","Egypt","Al Ahli"
"Sam Morsy","MID","Egypt","Wigan Athletic"
"Mohamed Elneny","MID","Egypt","Arsenal"
"Mahmoud Kahraba","MID","Egypt","Al Ittihad"
"Ramadan Sobhi","MID","Egypt","Stoke City"
"Mahmoud Hassan","MID","Egypt","Kasimpasa"
"Amr Warda","MID","Egypt","Atromitos Athens"
"Marwan Mohsen","ATT","Egypt","Al Ahly"
"Mohamed Salah","ATT","Egypt","Liverpool"
"Igor Akinfeev","GK","Russia","CSKA Moscow"
"Vladimir Gabulov","GK","Russia","Club Brugge"
"Andrey Lunev","GK","Russia","Zenit St Petersburg"
"Vladimir Granat","DEF","Russia","Rubin Kazan"
"Fedor Kudryashov","DEF","Russia","Rubin Kazan"
"Ilya Kutepov","DEF","Russia","Spartak Moscow"
"Andrey Semenov","DEF","Russia","Akhmat Grozny"
"Sergei Ignashevich","DEF","Russia","CSKA Moscow"
"Mario Fernandes","DEF","Russia","CSKA Moscow"
"Igor Smolnikov","DEF","Russia","Zenit St Petersburg"
"Yuri Gazinskiy","MID","Russia","Krasnodar"
"Alexsandr Golovin","MID","Russia","CSKA Moscow"
"Alan Dzagoev","MID","Russia","CSKA Moscow"
"Aleksandr Erokhin","MID","Russia","Zenit St Petersburg"
"Yuri Zhirkov","MID","Russia","Zenit St Petersburg"
"Daler Kuzyaev","MID","Russia","Zenit St Petersburg"
"Roman Zobnin","MID","Russia","Spartak Moscow"
"Alexsandr Samedov","MID","Russia","Spartak Moscow"
"Anton Miranchuk","MID","Russia","Lokomotiv Moscow"
"Denis Cheryshev","MID","Russia","Villarreal"
"Artem Dzyuba","ATT","Russia","Arsenal Tula"
"Aleksey Miranchuk","ATT","Russia","Lokomotiv Moscow"
"Fedor Smolov","ATT","Russia","Krasnodar"
"Mohammed Al Owais","GK","Saudi Arabia","Al Ahli"
